COMMAND

    echo 'The Belobog Academy has discovered a new, invasive species of algae that can double itself in one day, and in 30 days fills a whole reservoir - contaminating the water supply. How many days would it take for the algae to fill half of the reservoir?' | ./gemma --model 7b-it --compressed_weights ~/weights/gemma-7b-it-sfp/7b-it-sfp.sbs --tokenizer ~/weights/gemma-7b-it-sfp/tokenizer.spm --num_threads 1 --verbosity 0 --temperature 0

MATVEC OUTPUT TRACE

    The `gold` output matrix was produced on an avx512 machine. The
    `out` output matrix was produced on an AVX2 machine. These logs
    display the sum of absolute differences (sad) between the two output
    vectors, divided by the number of elements. Each line also displays
    the min/max value of each vector, to show the range.

[ Reading prompt ]
trace/000_000_00165.dat: sad 0.151438 [gold -11.5962 .. 11.7791] [out -11.233 .. 11.354]
trace/000_000_00166.dat: sad 0.165099 [gold -5.44694 .. 3.71533] [out -5.29716 .. 4.05084]
trace/000_000_00167.dat: sad 0.0489013 [gold -0.629842 .. 1.01022] [out -0.782902 .. 0.757125]
trace/000_000_00168.dat: sad 0.0326029 [gold -10.7262 .. 9.91605] [out -10.7518 .. 10.0472]
trace/000_000_00169.dat: sad 0.0380171 [gold -4.9318 .. 3.32324] [out -4.93372 .. 3.40292]
trace/000_000_00170.dat: sad 0.00634065 [gold -0.39628 .. 0.405257] [out -0.393783 .. 0.410123]
trace/000_000_00171.dat: sad 0.0231865 [gold -9.57873 .. 9.9031] [out -9.58624 .. 9.84462]
trace/000_000_00172.dat: sad 0.02373 [gold -4.67288 .. 3.49151] [out -4.62918 .. 3.4953]
trace/000_000_00173.dat: sad 0.0052638 [gold -0.294629 .. 0.631272] [out -0.296576 .. 0.667653]
trace/000_000_00174.dat: sad 0.00921335 [gold -9.82059 .. 10.2155] [out -9.83348 .. 10.1971]
trace/000_000_00175.dat: sad 0.00975793 [gold -4.76285 .. 4.80571] [out -4.76478 .. 4.77739]
trace/000_000_00176.dat: sad 0.00174696 [gold -0.45481 .. 0.902697] [out -0.453241 .. 0.907225]
trace/000_000_00177.dat: sad 0.0089504 [gold -9.47823 .. 9.84293] [out -9.48279 .. 9.82714]
trace/000_000_00178.dat: sad 0.0102405 [gold -4.22444 .. 3.48715] [out -4.21398 .. 3.44811]
trace/000_000_00179.dat: sad 0.00148226 [gold -0.344395 .. 1.49281] [out -0.346455 .. 1.50788]
trace/000_000_00180.dat: sad 0.00653679 [gold -9.00431 .. 10.6813] [out -8.9979 .. 10.6745]
trace/000_000_00181.dat: sad 0.00719205 [gold -4.59239 .. 5.57624] [out -4.59316 .. 5.56267]
trace/000_000_00182.dat: sad 0.00106218 [gold -0.457158 .. 1.2922] [out -0.458003 .. 1.3042]
trace/000_000_00183.dat: sad 0.00697489 [gold -10.5066 .. 11.2976] [out -10.5002 .. 11.2863]
trace/000_000_00184.dat: sad 0.0071084 [gold -4.69211 .. 4.81828] [out -4.69656 .. 4.79815]
trace/000_000_00185.dat: sad 0.00150326 [gold -0.540949 .. 1.09651] [out -0.536738 .. 1.10396]
trace/000_000_00186.dat: sad 0.00611803 [gold -10.0628 .. 9.80874] [out -10.0616 .. 9.8133]
trace/000_000_00187.dat: sad 0.00643264 [gold -4.7235 .. 3.34403] [out -4.72636 .. 3.34776]
trace/000_000_00188.dat: sad 0.00105086 [gold -0.429316 .. 0.68592] [out -0.428443 .. 0.699579]
